,grouping_time,mip_time,optimality_gap,optimal_height,grouping_height
0,1.4151296615600586,2.936156988143921,0.0,44,44
1,0.90602707862854,1.9206109046936035,0.0,27,27
2,0.8885221481323242,10.184107065200806,3.3333333333333335,30,31
3,0.7329280376434326,3.1536970138549805,0.0,41,41
4,1.6202831268310547,6.056149959564209,4.0,25,26
5,0.999608039855957,6.9836249351501465,0.0,26,26
6,2.0134379863739014,6.68590784072876,0.0,30,30
7,0.6618208885192871,2.8148789405822754,0.0,22,22
8,0.5795109272003174,1.9761919975280762,0.0,29,29
9,0.5964469909667969,3.174252986907959,0.0,31,31
10,0.7414522171020508,3.3144588470458984,0.0,31,31
11,0.8312218189239502,3.0347001552581787,0.0,39,39
12,0.5547082424163818,3.2314131259918213,0.0,27,27
13,1.442781925201416,5.174359083175659,0.0,30,30
14,0.8466298580169678,3.5045979022979736,0.0,30,30
15,0.732130765914917,3.439551830291748,0.0,32,32
16,0.8954339027404785,6.013063907623291,0.0,29,29
17,0.9294981956481934,1494.7057192325592,0.0,36,36
18,44.910468101501465,7.744064092636108,2.857142857142857,35,36
19,1.1306908130645752,6.60026216506958,0.0,31,31
20,6.116373062133789,8.813110113143921,4.0,25,26
21,3.2604098320007324,7.489878177642822,0.0,30,30
22,3.2146356105804443,11.515502214431763,0.0,28,28
23,9.6407151222229,11.255429029464722,3.5714285714285716,28,29
24,2.8792083263397217,7.246652364730835,4.3478260869565215,23,24
25,3.742838144302368,6.062726020812988,0.0,39,39
26,3.0240461826324463,4.79273796081543,0.0,32,32
27,5.104919910430908,9.05581521987915,0.0,28,28
28,3.0469391345977783,10.62027621269226,4.0,25,26
29,4.002280950546265,7.516666889190674,0.0,43,43
30,3.4291388988494873,6.054138898849487,0.0,35,35
31,3.618993043899536,6.858885765075684,4.0,25,26
32,3.809429883956909,4.576245069503784,5.2631578947368425,19,20
33,6.376418113708496,6.6982831954956055,0.0,40,40
34,3.9012842178344727,9.536739110946655,0.0,28,28
35,3.5801119804382324,6.432605981826782,0.0,23,23
36,1.1797800064086914,7.105890989303589,0.0,37,37
37,0.6190879344940186,2.6179587841033936,0.0,40,40
38,3.8314366340637207,9.525627136230469,0.0,38,38
39,4.096047878265381,6.42298698425293,0.0,33,33
40,3.9268851280212402,7.414602994918823,3.4482758620689653,29,30
41,3.612321138381958,6.750609874725342,0.0,28,28
42,4.362013816833496,7.440279960632324,4.545454545454546,22,23
43,3.3179562091827393,6.740641117095947,0.0,39,39
44,4.682806015014648,6.938724040985107,0.0,25,25
45,3.1181728839874268,6.110424757003784,0.0,20,20
46,2.8067383766174316,9.843318939208984,3.125,32,33
47,4.136437892913818,8.56354308128357,0.0,47,47
48,2.9273390769958496,8.780092716217041,3.4482758620689653,29,30
49,3.837214946746826,6.070649862289429,0.0,32,32
50,3.179234027862549,5.939269065856934,0.0,30,30
51,2.6160292625427246,5.495224714279175,0.0,38,38
52,7.143869161605835,9.905970096588135,3.7037037037037037,27,28
53,3.321582794189453,6.9823079109191895,0.0,31,31
54,3.2966556549072266,3.7840452194213867,0.0,38,38
55,3.417526960372925,5.422536849975586,0.0,32,32
56,3.4563021659851074,3.3185441493988037,0.0,31,31
57,1.8339719772338867,3.7155470848083496,0.0,49,49
58,0.5925018787384033,3.5490500926971436,0.0,31,31
59,1.4817049503326416,3.2906410694122314,0.0,22,22
60,0.8106837272644043,5.290979862213135,0.0,32,32
61,0.8152530193328857,2.8975751399993896,0.0,31,31
62,0.9327318668365479,3.336836814880371,0.0,32,32
63,0.867440938949585,3.061589002609253,3.8461538461538463,26,27
64,0.5364329814910889,6.774904251098633,8.333333333333334,24,26
65,0.7930359840393066,3.3557610511779785,0.0,40,40
66,1.1554250717163086,8.259771823883057,0.0,27,27
67,0.7315769195556641,2.467250108718872,0.0,31,31
68,1.3963079452514648,4.570159673690796,0.0,35,35
69,0.9027571678161621,802.6786069869995,0.0,36,36
70,2.1764400005340576,5.767017126083374,0.0,26,26
71,0.5855929851531982,2.409208059310913,0.0,26,26
72,1.4426491260528564,4.489117860794067,0.0,29,29
73,0.8338332176208496,4.2712721824646,0.0,38,38
74,0.6154797077178955,158.61400294303894,0.0,31,31
75,1.7552399635314941,3.251983880996704,0.0,37,37
76,1.8273069858551025,3.5732979774475098,0.0,28,28
77,1.2760241031646729,4.872302055358887,3.225806451612903,31,32
78,0.9629490375518799,3.5226192474365234,3.8461538461538463,26,27
79,1.0831599235534668,3.580742835998535,0.0,22,22
